Ticker,Sector,Industry
BA,Industrials,Aerospace & Defense
TPR,Consumer Cyclical,Luxury Goods
ISRG,Healthcare,Medical Instruments & Supplies
CSCO,Technology,Communication Equipment
DVN,Energy,Oil & Gas E&P
VRTX,Healthcare,Biotechnology
TROW,Financial Services,Asset Management
MRO,Energy,Oil & Gas E&P
UAL,Industrials,Airlines
CE,Basic Materials,Chemicals
TER,Technology,Semiconductor Equipment & Materials
GILD,Healthcare,Drug Manufacturers - General
PODD,Healthcare,Medical Devices
MDT,Healthcare,Medical Devices
QRVO,Technology,Semiconductors
V,Financial Services,Credit Services
A,Healthcare,Diagnostics & Research
FOX,Communication Services,Entertainment
MO,Consumer Defensive,Tobacco
CTRA,Energy,Oil & Gas E&P
SWKS,Technology,Semiconductors
CDNS,Technology,Software - Application
MCHP,Technology,Semiconductors
ENPH,Technology,Solar
MSCI,Financial Services,Financial Data & Stock Exchanges
EIX,Utilities,Utilities - Regulated Electric
CHTR,Communication Services,Telecom Services
KDP,Consumer Defensive,Beverages - Non-Alcoholic
GEN,Technology,Software - Infrastructure
BBY,Consumer Cyclical,Specialty Retail
WBA,Healthcare,Pharmaceutical Retailers
LVS,Consumer Cyclical,Resorts & Casinos
HCA,Healthcare,Medical Care Facilities
AJG,Financial Services,Insurance Brokers
CF,Basic Materials,Agricultural Inputs
C,Financial Services,Banks - Diversified
T,Communication Services,Telecom Services
HUM,Healthcare,Healthcare Plans
DTE,Utilities,Utilities - Regulated Electric
MGM,Consumer Cyclical,Resorts & Casinos
CBOE,Financial Services,Financial Data & Stock Exchanges
APH,Technology,Electronic Components
CFG,Financial Services,Banks - Regional
SYY,Consumer Defensive,Food Distribution
MSI,Technology,Communication Equipment
LH,Healthcare,Diagnostics & Research
SOLV,Healthcare,Health Information Services
FCX,Basic Materials,Copper
LNT,Utilities,Utilities - Regulated Electric
ADM,Consumer Defensive,Farm Products
BLDR,Industrials,Building Products & Equipment
PSX,Energy,Oil & Gas Refining & Marketing
BAC,Financial Services,Banks - Diversified
IRM,Real Estate,REIT - Specialty
HUBB,Industrials,Electrical Equipment & Parts
PPG,Basic Materials,Specialty Chemicals
HAL,Energy,Oil & Gas Equipment & Services
GPN,Industrials,Specialty Business Services
TECH,Healthcare,Biotechnology
IQV,Healthcare,Diagnostics & Research
STZ,Consumer Defensive,Beverages - Brewers
WBD,Communication Services,Entertainment
BG,Consumer Defensive,Farm Products
ADI,Technology,Semiconductors
SMCI,Technology,Computer Hardware
STLD,Basic Materials,Steel
PARA,Communication Services,Entertainment
ADBE,Technology,Software - Infrastructure
CPRT,Industrials,Specialty Business Services
ULTA,Consumer Cyclical,Specialty Retail
F,Consumer Cyclical,Auto Manufacturers
ARE,Real Estate,REIT - Office
KVUE,Consumer Defensive,Household & Personal Products
CB,Financial Services,Insurance - Property & Casualty
PEP,Consumer Defensive,Beverages - Non-Alcoholic
SYK,Healthcare,Medical Devices
NOW,Technology,Software - Application
GNRC,Industrials,Specialty Industrial Machinery
PEG,Utilities,Utilities - Regulated Electric
LLY,Healthcare,Drug Manufacturers - General
COST,Consumer Defensive,Discount Stores
TSN,Consumer Defensive,Farm Products
NWS,Communication Services,Entertainment
LOW,Consumer Cyclical,Home Improvement Retail
XEL,Utilities,Utilities - Regulated Electric
FMC,Basic Materials,Agricultural Inputs
FTV,Technology,Scientific & Technical Instruments
REG,Real Estate,REIT - Retail
MDLZ,Consumer Defensive,Confectioners
DLR,Real Estate,REIT - Specialty
MET,Financial Services,Insurance - Life
ACGL,Financial Services,Insurance - Diversified
MRK,Healthcare,Drug Manufacturers - General
STX,Technology,Computer Hardware
FAST,Industrials,Industrial Distribution
TJX,Consumer Cyclical,Apparel Retail
BR,Technology,Information Technology Services
MPC,Energy,Oil & Gas Refining & Marketing
D,Utilities,Utilities - Regulated Electric
NOC,Industrials,Aerospace & Defense
KHC,Consumer Defensive,Packaged Foods
BXP,Real Estate,REIT - Office
UNP,Industrials,Railroads
ABNB,Consumer Cyclical,Travel Services
ECL,Basic Materials,Specialty Chemicals
IPG,Communication Services,Advertising Agencies
ETR,Utilities,Utilities - Regulated Electric
ABBV,Healthcare,Drug Manufacturers - General
ORCL,Technology,Software - Infrastructure
EBAY,Consumer Cyclical,Internet Retail
SBUX,Consumer Cyclical,Restaurants
ALLE,Industrials,Security & Protection Services
AMT,Real Estate,REIT - Specialty
IR,Industrials,Specialty Industrial Machinery
INTU,Technology,Software - Application
CAT,Industrials,Farm & Heavy Construction Machinery
PAYC,Technology,Software - Application
